File name;Zone;Patry;Hostplant;Baltic;Sex;BL;OL;Wing length;Wing width;Wing area;Melanized area;LMPC1;LMPC2;LMPC3;LMPC4;LMPC5;LMPC6;BL ln;OL ln;WL ln;WW ln;WA sqrt;MA sqrt;WA sqrt ln;MA sqrt ln
CHST18_33aWing1a.jpg;CHST;Allopatry;Heterophyllum;West;Male;4.08;;4.27659574468085;1.85106382978723;6.25973291081938;3.3799230421005;-0.0074741;-0.011445;0.0040333;0.0033663;-0.0020144;-0.00081209;0.61066016308988;;0.631098199484771;0.267421394682901;2.50194582491695;1.83845670117642;0.398277901602665;0.264453405941847
CHST18_33bWing1a.jpg;CHST;Allopatry;Heterophyllum;West;Female;3.99;1.72;4.54838709677419;1.94623655913978;6.99294716152156;3.71834894207423;0.019573;0.00041111;0.0080033;-0.0083764;0.0013519;0.0061587;0.600972895686748;0.235528446907549;0.657857418821107;0.289195626315249;2.64441811397547;1.92830208786752;0.422330123368918;0.285175071484272
CHST18_38aWing1a.jpg;CHST;Allopatry;Heterophyllum;West;Male;4.91;;5.11;2.34;9.657;6.1654;0.0021378;0.0014252;0.000077444;0.0064213;-0.0026851;-0.0049579;0.691081492122968;;0.708420900134713;0.369215857410143;3.10757139901885;2.48302235189295;0.492421115702638;0.394980629043117
CHST18_38bWing1a.jpg;CHST;Allopatry;Heterophyllum;West;Female;5.04;1.87;5.22772277227723;2.38613861386139;9.98009999019704;6.74953435937653;-0.017181;-0.0010864;-0.014271;-0.0060101;0.00013824;0.0032535;0.702430536445525;0.271841606536499;0.71831254875117;0.377695668792226;3.15912962541853;2.59798659722804;0.499567446243549;0.414636906257826
CHST18_39aWing1a.jpg;CHST;Allopatry;Heterophyllum;West;Male;3.98;;4.52631578947368;2.01052631578947;7.02138504155125;4.04819944598338;-0.001495;-0.00058484;-0.0026171;-0.0027325;-0.0055127;0.0052834;0.599883072073688;;0.655744850290739;0.30330976195888;2.64978962213064;2.01201377877573;0.423211394852037;0.30363095055177
CHST18_39bWing1a.jpg;CHST;Allopatry;Heterophyllum;West;Female;4.16;1.72;4.8936170212766;2.18085106382979;8.43809416025351;4.20937075599819;0.00054368;0.0015825;0.0016506;0.0037797;-0.0034891;-0.0018562;0.619093330626743;0.235528446907549;0.689629978081875;0.338626007456056;2.9048397822003;2.05167510975744;0.46312218367121;0.31210858976791
CHST18_40aWing1a.jpg;CHST;Allopatry;Heterophyllum;West;Male;4.54;;4.91;2.19;8.7164;5.8689;-0.0023713;0.011913;-0.006717;-0.00042188;-0.010408;-0.0031862;0.657055852857104;;0.691081492122968;0.340444114840118;2.95235499220537;2.42258126798669;0.470168576012367;0.384278354823392
CHST18_40bWing1a.jpg;CHST;Allopatry;Heterophyllum;West;Female;4.61;1.64;5.13131313131313;2.43434343434343;10.1748801142741;6.65809611264157;-0.0012028;0.00023479;0.0065782;-0.0099232;-0.0032845;0.0076866;0.663700925389648;0.214843848047698;0.710228517686369;0.386381847977319;3.18980878961013;2.58032868306376;0.503764650422046;0.411675030052003
CHST18_41aWing1a.jpg;CHST;Allopatry;Heterophyllum;West;Male;4.04;;4.46808510638298;2;7.22600724309642;3.94330013580806;0.0062656;-0.012287;-0.0044985;-0.0049885;0.003623;0.0034962;0.606381365110605;;0.650121436798202;0.301029995663981;2.68812336828063;1.98577444232925;0.429449196276895;0.297929916860804
CHST18_42aWing1a.jpg;CHST;Allopatry;Heterophyllum;West;Male;4.36;;4.11827956989247;1.94623655913978;6.31124985547462;3.46525609897098;-0.025713;0.0082193;-0.0053883;-0.003512;0.0085944;0.0011544;0.639486489268586;;0.614715825414688;0.289195626315249;2.51222010490216;1.86151983577156;0.400057686879177;0.269867668284863
